,cell_class,coord_X,coord_Y
220443,Peri,-0.29377952,0.29187977
133451,Oligo,0.083816275,0.32499692
133393,L6 IT,0.30178893,-0.047867157
90340,L5 IT,-0.024986349,0.1189088
90131,L6 CT,0.02596799,0.10728768
134289,L6 CT,0.39298117,-0.042542994
271078,L6b,-0.08330023,0.4630197
204373,L4/5 IT,0.16962731,-0.32229036
104103,L4/5 IT,-0.21097317,0.12773174
53279,Endo,0.13785225,-0.37139177
244244,PVM,0.27418417,-0.1817081
208337,L6 IT,0.3536551,-0.011882883
102219,L2/3 IT,-0.17091762,-0.20980316
89395,L6 CT,-0.2129993,0.35026315
219951,L5 ET,0.30249345,-0.2029523
132656,Micro,-0.36122653,-0.09778556
54882,L4/5 IT,0.1521088,-0.24823079
132728,OPC,0.35850725,0.10550726
89690,L6 IT,0.15801045,0.06464072
103663,Peri,-0.044483066,0.36624238
194831,PVM,0.11845526,-0.10453234
91104,OPC,0.06856595,-0.14905727
132475,Oligo,-0.4528249,-0.010115873
103044,Peri,0.1295926,-0.14044516
90811,L6 IT,-0.12920502,0.31086996
257131,L2/3 IT,0.059138585,-0.32704246
220170,Oligo,0.24606673,0.020357732
133865,Endo,0.16166136,0.1323134
208900,L5 IT,0.034732204,0.04206156
91082,L2/3 IT,-0.2528012,-0.044063874
132707,L6 CT,-0.007017471,0.26578468
194410,Endo,0.10970296,-0.35471743
103826,L5 IT,-0.13651262,0.18405032
91081,L6 IT,0.37841305,-0.14511153
132750,L2/3 IT,0.15232696,-0.38743913
242337,Endo,0.22046973,0.029608775
55669,Astro,-0.48586357,0.024349157
132425,L2/3 IT,0.13268079,-0.35122317
53970,L4/5 IT,0.053288084,-0.23995948
103097,L5 IT,0.10628171,0.06506027
246558,L5/6 NP,0.040184747,0.0056423843
56118,L5/6 NP,-0.17779787,0.18926024
194863,Pvalb,0.39504996,-0.15701795
103596,Pvalb,0.28617215,-0.053089827
56104,Oligo,-0.24855565,0.26065174
246595,L4/5 IT,-0.24532521,0.040665016
133942,OPC,-0.066917785,-0.030128445
56054,L2/3 IT,-0.33092505,-0.017018048
271011,L5 ET,-0.27166936,0.2611277
257336,L4/5 IT,-0.19134168,0.004847016
264741,L2/3 IT,0.041387524,-0.29416832
91112,L5 IT,-0.0967586,0.19709301
194298,L6 CT,-0.025096517,0.3715493
89695,L6 CT,0.25606304,-0.005206028
103019,Oligo,0.30034867,-0.2986896
133813,L5 ET,-0.026882904,0.04728189
204754,L6 CT,0.4208733,-0.011821905
102824,Endo,0.3628742,-0.013925471
133774,L6 CT,0.2607358,0.027953494
89749,L2/3 IT,-0.1331828,-0.1963489
90903,SMC,-0.32204443,0.14783448
90947,Oligo,-0.100715004,0.4644443
204448,L6 CT,0.06953925,0.14614946
133772,L5 ET,0.107584745,-0.09333707
91004,L5 IT,0.040041786,-0.13010305
103735,VLMC,-0.28085876,-0.209214
54329,Micro,0.034171354,0.15349978
90954,Oligo,0.2931004,0.18446568
89739,L4/5 IT,-0.27691478,0.18492043
102884,Astro,0.1468265,0.23257163
220195,L4/5 IT,0.22680967,-0.32231387
103026,L4/5 IT,-0.15038788,-0.011409888
132532,Pvalb,0.043085705,0.14549306
133815,L2/3 IT,-0.030690841,-0.21746412
220656,Astro,-0.44896144,-0.013097109
133850,L2/3 IT,-0.37968245,0.108614154
91059,L6 CT,-0.1942338,0.3346213
102806,L4/5 IT,-0.3118956,0.20332545
220646,Micro,-0.40318617,0.0011275746
242421,PVM,0.23787896,0.21377286
133728,Pvalb,0.08527546,-0.2069368
54215,Endo,-0.36942178,-0.13041574
102980,L5 IT,0.281745,-0.2830685
264756,Endo,-0.03980852,0.3655525
132519,Endo,-0.245952,-0.08689512
55948,L4/5 IT,0.047090683,-0.14801478
132528,OPC,0.34208223,-0.15387304
133822,L6 IT,0.058282617,0.14209792
262555,L4/5 IT,0.10302611,-0.23999909
132673,L2/3 IT,-0.2603264,-0.123285346
56126,Vip,0.18589793,0.07505459
264510,L6b,0.44818357,0.015171349
53942,Oligo,0.3229606,-0.25586042
208992,L6 CT,-0.10225235,0.37096083
91402,L5 ET,0.27672538,-0.20872033
53569,Pvalb,-0.17040886,0.16832757
194479,L5/6 NP,0.06486657,0.004722178
89539,Pvalb,0.031564552,-0.08109318
102443,L2/3 IT,-0.37671214,0.069201194
103563,L6 IT,0.0922157,0.11582973
219995,L5 IT,0.0024455562,0.100175194
134201,L6 CT,0.28498375,0.06418925
194476,Astro,0.19413221,-0.39621675
53716,Endo,0.23661725,-0.35961762
134176,L2/3 IT,0.1854702,-0.40894958
90488,L2/3 IT,-0.38922366,0.055857256
257089,L2/3 IT,-0.42773333,0.12622064
56367,L5 IT,-0.050608195,-0.045055315
103154,Endo,-0.2010147,0.35347596
53739,L2/3 IT,-0.31366864,0.123958446
89912,VLMC,-0.38702127,-0.105924405
103159,L4/5 IT,0.13820532,-0.25802225
194668,Sst,-0.2469582,-0.05830451
132083,Pvalb,-0.19367483,0.21536568
54850,L2/3 IT,0.03355838,-0.23138642
89454,Peri,-0.40212506,0.1256586
208433,L4/5 IT,-0.30946296,0.1617344
56492,Astro,0.033586185,-0.37572968
55581,L6 CT,0.289288,0.07526578
132093,SMC,-0.48334175,0.04517504
89942,Oligo,0.34011868,-0.045877453
262606,L4/5 IT,-0.32659122,0.21151072
270782,L4/5 IT,0.19957455,-0.288141
89469,Astro,-0.16200027,-0.026798118
53527,L4/5 IT,-0.026776554,-0.15053453
132958,L5 IT,0.26825464,-0.29786786
257068,L6 IT,-0.1317116,0.3709585
134259,PVM,-0.24133387,-0.21696344
90538,L6 CT,0.35666144,-0.037988953
220294,Pvalb,0.3673283,-0.12593712
134129,L6 IT,0.18510324,0.054609604
53879,L2/3 IT,-0.406461,0.023089051
56197,Micro,0.24761195,-0.2209411
53891,L5 IT,0.0455953,-0.1028244
220550,Oligo,0.0045946427,0.3912694
54639,L2/3 IT,-0.0783941,-0.18803722
204675,VLMC,-0.1859357,-0.29005808
133620,Astro,0.29211655,-0.12641329
103574,Micro,0.0018919259,-0.3876764
208942,L6 CT,0.006066855,0.21857479
242451,L2/3 IT,-0.12976922,-0.15277296
103580,L4/5 IT,-0.15131375,-0.1348823
194725,L4/5 IT,-0.12925118,-0.025676515
194453,L6 CT,0.09502913,0.07536265
204786,L5 IT,0.10169868,-0.021080108
132339,Oligo,0.3340742,-0.00080860034
244309,L2/3 IT,-0.31494614,0.1156575
208655,L2/3 IT,-0.26868394,-0.03719633
91314,L5 IT,-0.32473487,0.27517316
89595,PVM,-0.15189958,-0.27648
53745,L4/5 IT,-0.16438724,0.016587857
208981,L6 CT,0.018876608,0.27106914
264594,L5 IT,0.27683944,-0.31651232
103921,L5 IT,0.2703403,-0.28388333
89878,Pvalb,-0.29574698,0.054752544
246630,Oligo,0.31094614,0.1615107
220063,Micro,-0.32364458,0.22990546
244882,Oligo,-0.25517708,0.098703556
208453,Pvalb,-0.013825156,0.41577306
103571,Oligo,-0.21445505,0.3234571
220279,Oligo,-0.47579592,0.0298124
90610,L6 CT,0.45031017,-0.088673174
53747,L5 IT,-0.111553535,0.30137095
132275,Astro,0.07363704,0.41032353
208455,Endo,0.024720285,-0.0045552645
208978,PVM,0.19971167,-0.261314
55626,L4/5 IT,0.09488629,-0.19916195
77386,Oligo,0.42449978,-0.047759928
50484,L5 ET,-0.009659439,-0.011062298
262669,L2/3 IT,-0.3664416,-0.046817586
95620,L4/5 IT,-0.2449298,0.10012836
207119,L2/3 IT,-0.16300458,-0.09238718
139224,Endo,0.20484467,-0.20479491
139221,L4/5 IT,0.10556133,-0.2567786
205938,L2/3 IT,0.095789656,-0.32911825
47628,L6 CT,-0.025063539,0.33312717
263738,Endo,0.01080304,-0.3294878
95546,L6 CT,0.17555176,0.07055989
222786,Micro,0.014634486,0.037349105
139157,L2/3 IT,-0.15840542,-0.113024995
139124,Oligo,0.105553225,0.25426242
98746,Endo,0.0876306,0.08926204
139116,Oligo,0.33281112,0.21761674
98759,L5 IT,0.13850176,-0.014691638
98647,Endo,0.21801032,-0.49016675
139054,L6 CT,0.2634695,0.09002656
98761,L4/5 IT,0.16868386,-0.2794789
47808,L5 IT,0.2544402,-0.17071784
47823,PVM,0.025300745,0.3371385
139028,L6 CT,0.10319446,0.15575007
95505,L5 IT,-0.044090874,-0.03456849
139006,L6 IT,0.31535485,-0.18774596
47855,VLMC,-0.25392973,-0.23055533
222736,Pvalb,-0.033663027,0.018805992
95498,L2/3 IT,-0.3601142,-0.036788814
138967,Astro,0.22376995,0.15536124
256405,L5/6 NP,0.054140862,0.07254564
47865,L6 CT,-0.06497914,0.33469787
207161,Oligo,0.2839929,-0.10864127
95382,Sncg,0.07286729,-0.3489914
95536,Peri,-0.1586013,0.03904534
246928,L2/3 IT,-0.20852701,-0.110264525
47494,L6 CT,0.114498585,0.10112373
47450,L5 IT,-0.061789766,0.16060925
98294,Oligo,-0.24879797,0.14610285
98351,Lamp5,-0.3870261,-0.07018648
139669,L6 CT,0.21166702,0.008894969
263267,Micro,0.21065451,-0.18647179
256243,L2/3 IT,-0.05514362,-0.20915213
47061,L4/5 IT,-0.09063758,-0.0072312076
98380,L5 IT,-0.12533477,0.28195804
95822,L5 IT,-0.031718615,-0.08134349
192420,L6 CT,-0.04170264,0.27656534
206083,PVM,0.13256635,0.07686997
192422,L2/3 IT,0.10577679,-0.35056895
98394,Oligo,0.22851588,-0.52305
244541,L6 CT,0.42897084,-0.09211786
95765,L6 CT,0.29320252,0.009555303
98414,L5 IT,0.2405575,-0.15240794
47156,Pvalb,-0.07976375,-0.1126594
222979,L4/5 IT,-0.28184968,0.17769974
98620,L2/3 IT,-0.41442618,0.089866735
192515,L2/3 IT,-0.3445764,-0.058561143
244658,L6 IT,0.054193247,0.27565342
95698,L5 ET,-0.05375743,0.025562651
256322,L6 IT,0.23302914,-0.015181551
192486,Astro,-0.22520193,-0.03745965
47905,Pvalb,-0.039809033,0.20271376
139437,L5 IT,0.2620997,-0.09391376
139467,L2/3 IT,-0.20963418,-0.103857204
95727,L4/5 IT,-0.15813121,-0.0149447685
139522,L6 IT,-0.064903796,0.3784582
256278,L4/5 IT,0.15253137,-0.31837627
95743,L6 CT,0.16618331,-0.002680704
47223,L5 IT,-0.17798449,0.1062782
95726,PVM,0.19354369,0.036725163
222696,Astro,-0.058979556,0.43451282
95376,L5 ET,0.033773597,-0.08325198
138919,Sst,-0.27805793,0.22219402
192841,Oligo,0.19223009,-0.04492207
48442,Pvalb,-0.076851696,0.33636597
192845,Vip,0.34335366,-0.13205671
241992,L4/5 IT,-0.23010615,-0.020373318
207290,L2/3 IT,-0.31627735,0.109056525
48508,L4/5 IT,-0.30313176,0.17805687
48515,Lamp5,0.10449797,-0.3290205
222451,PVM,0.19617526,0.032774962
138505,Pvalb,-0.2130051,0.2248525
138495,L2/3 IT,-0.057351775,-0.28878364
48636,L4/5 IT,0.09479183,-0.2560581
138479,Oligo,0.014885642,0.44402638
99280,L2/3 IT,-0.06883843,-0.26255378
192894,Oligo,0.3931103,-0.1167618
95039,L4/5 IT,0.07528287,-0.16262975
99337,L5 ET,-0.02642398,-0.032444946
48685,L2/3 IT,-0.20226084,-0.17041898
49048,Pvalb,0.24176069,-0.08069727
138186,Endo,0.2309634,-0.4984302
48948,L4/5 IT,-0.093846254,-0.14334324
192968,L4/5 IT,-0.19146958,-0.062018033
138262,Astro,-0.5080939,0.04691471
99474,L4/5 IT,-0.1277551,0.0184929
95180,L5 IT,-0.0045159273,0.10627671
138275,L5 IT,0.14065729,-0.1369589
244489,L6 CT,-0.21994947,0.38352087
271875,Astro,0.04618453,0.19269532
138339,L6 CT,0.123137906,0.19169566
263115,Pvalb,-0.021512838,0.11266691
48780,Peri,0.19632643,-0.24157533
95015,L4/5 IT,-0.2594428,0.15386549
99473,L6 IT,0.1968442,-0.03975787
139683,L2/3 IT,-0.16337194,-0.13027227
48393,Peri,-0.13029851,0.09244186
206523,Endo,0.26779208,-0.20322278
263175,L4/5 IT,0.21793641,-0.29084012
138884,Endo,-0.41782713,-0.047521602
271996,L4/5 IT,-0.3033374,0.22895253
192722,Astro,0.028915789,-0.21387875
138847,L6 IT,0.14470346,0.17482573
207212,Pvalb,-0.08632319,0.38440657
205865,L6 CT,0.37219295,-0.00033783168
263163,L2/3 IT,-0.35151726,0.064063884
47980,L2/3 IT,-0.2013976,-0.112381004
98942,Oligo,0.08715217,0.40163928
138791,Astro,0.25851488,0.0722546
98951,L4/5 IT,0.0057971478,-0.17491552
98962,L6 CT,0.37501663,-0.14133242
207235,Pvalb,-0.013369948,0.17488945
138754,L4/5 IT,-0.25635567,0.0591937
98980,SMC,0.40423688,-0.049474962
222626,L2/3 IT,-0.23134594,-0.05185833
138628,SMC,-0.4914407,0.040666148
241982,L6 CT,-0.18450156,0.36316457
99167,L2/3 IT,-0.21941273,-0.16647327
48255,Astro,-0.047898877,0.1417386
263136,L5 IT,0.2676741,-0.29260895
138654,L5 ET,-0.2208745,0.2400895
207273,L2/3 IT,-0.08576596,-0.21985358
99103,Astro,0.21869124,-0.4751998
138706,L6 CT,0.21786712,-0.058708258
99054,Endo,0.03574365,0.29862562
222601,L4/5 IT,-0.09692606,-0.015697192
48154,L6 IT,-0.026912183,0.30391988
246894,Astro,0.2154349,-0.093472466
207248,L4/5 IT,-0.12720928,-0.09882186
138683,Endo,-0.123385,-0.027812941
139686,L5 ET,-0.2785739,0.29744464
46980,L5 IT,0.30642802,-0.060849868
46963,L6 CT,-0.16129625,0.34365597
45152,Oligo,0.04051097,0.43213108
97451,L6 CT,-0.10674302,0.23242405
263423,Peri,0.054389942,0.31233966
191919,L5 IT,-0.13035186,0.100544415
191925,Astro,0.28180996,0.1162368
45305,L4/5 IT,-0.22358012,0.04451049
223567,Endo,-0.101564385,0.4244882
96747,Oligo,0.44102806,-0.07879254
45392,VLMC,-0.021592585,-0.3868773
140860,L4/5 IT,0.0056415647,-0.11952877
140834,L6 CT,0.0041966513,0.2551863
45418,L4/5 IT,-0.25452954,0.019691188
45440,L4/5 IT,-0.26573297,0.18354955
140825,L6 IT,-0.015570464,0.3104876
206711,L5 IT,0.18280263,-0.20598385
256069,Peri,-0.13892198,-0.054787293
45443,L5 IT,-0.23816283,0.19785744
97799,OPC,-0.056468323,0.34492135
206782,L2/3 IT,-0.22706586,-0.15566733
97713,L6 IT,0.2816074,-0.017256876
97681,L4/5 IT,-0.18939766,-0.08958652
45695,L6 CT,0.13090543,0.14806604
45690,L2/3 IT,-0.1830989,-0.22012371
272485,Oligo,0.06523506,-0.15580946
96411,L6 IT,0.39735126,-0.12851083
96504,Astro,0.38554254,-0.1528395
223510,L6 CT,0.22503923,0.12838596
263590,Astro,-0.047744684,-0.09768517
96535,L6 CT,0.4456983,-0.10180034
96615,Oligo,0.003350433,0.45952988
45486,L4/5 IT,-0.040118244,-0.21313584
45584,Astro,-0.08367975,0.028525583
45752,L5 IT,-0.26563987,0.21496114
45132,L6 IT,0.014103431,0.073186755
96770,L5 ET,0.34188035,-0.22180867
97155,PVM,-0.1864308,0.0594292
97092,Astro,-0.039886884,-0.14875653
223839,Oligo,0.26768795,0.18840548
44410,VLMC,-0.545449,0.05152099
255966,L2/3 IT,0.032627966,-0.27722394
97075,Pvalb,0.15670028,0.0042547137
141416,L6 CT,0.21568729,0.14714837
44564,L4/5 IT,0.03739081,-0.1750122
44571,Micro,-0.074437864,-0.22492072
241783,L6 CT,0.15040493,0.030121937
244592,L4/5 IT,-0.23996072,0.05867683
191790,L4/5 IT,-0.0007472299,-0.20286345
97034,Pvalb,0.2246777,-0.17893955
141343,Oligo,0.37310317,-0.096942805
97009,L6 CT,0.32030192,0.057863325
44627,Lamp5,-0.12673204,-0.3091185
272548,L2/3 IT,-0.13078444,-0.1782456
206668,Oligo,0.14945018,0.15602064
97387,L2/3 IT,-0.07631932,-0.26943898
141176,L6 CT,0.030564379,0.1748591
141218,L4/5 IT,-0.008450452,-0.1102935
141228,L5 IT,-0.08688998,0.23767
141245,L6b,0.23884879,0.15083608
141095,L6 CT,0.31783125,0.07856641
44915,SMC,-0.12741107,-0.009837709
191833,L4/5 IT,-0.074159265,-0.08634141
191822,Vip,-0.104909316,-0.1110934
97304,L2/3 IT,-0.3584584,0.12255224
96964,L2/3 IT,0.032469984,-0.29824728
223701,L5 ET,0.29428208,-0.16027778
96995,L6 IT,0.018520486,0.2477592
141246,L5/6 NP,-0.08473523,0.14403975
192995,Astro,-0.27524158,-0.19875908
140536,L6 CT,0.25498712,0.03586413
263341,L4/5 IT,-0.23303768,0.043459155
192200,L6 CT,-0.10669538,0.31226915
272257,Astro,-0.13435584,0.20932186
98133,Endo,0.3052111,-0.017087774
46426,L4/5 IT,-0.31954747,0.13566655
96106,SMC,-0.53435665,0.0354338
140093,L6 CT,0.22278918,0.007289771
96101,L5 IT,-0.022793276,0.093754716
192252,L4/5 IT,0.015518025,-0.22760722
96061,L6 CT,0.25340796,0.06990745
140031,L5 IT,0.05935851,-0.03252814
46551,Oligo,0.2940197,-0.039634563
263652,L2/3 IT,0.07034618,-0.31635755
206137,L5 ET,0.25196657,-0.1605584
246957,L5 IT,-0.07306768,0.10066057
46627,Oligo,-0.061983705,-0.1667682
192295,Astro,-0.10955532,-0.2655468
223173,Lamp5,0.062107395,0.3464512
263708,Endo,0.14844857,-0.08310012
139739,Endo,-0.19293155,-0.0838208
272182,L5 IT,0.16295019,-0.06728436
95887,Astro,0.029876102,-0.3875149
272185,L6 CT,0.2725919,0.025150932
206120,L4/5 IT,-0.12778646,0.03154669
223279,L2/3 IT,-0.2924257,-0.13918523
192344,L4/5 IT,0.21599866,-0.29785678
272217,L2/3 IT,-0.37281156,0.13252625
223146,VLMC,-0.03915692,-0.37292907
95917,L6 CT,0.3694404,-0.024149518
139914,Lamp5,-0.26463738,-0.020522404
272220,L2/3 IT,-0.028688304,-0.27368224
96031,L6 IT,0.38019505,-0.12342595
46829,L2/3 IT,-0.23028605,-0.11305903
96321,L6 CT,0.29867497,0.07295747
46365,Astro,-0.069484726,0.17922589
46359,L6 IT,0.031463217,0.29733866
97861,Astro,0.06186695,0.31355745
45871,L6 IT,0.14882255,0.08686966
140485,Micro,0.084503666,0.05230417
45931,L4/5 IT,0.15215568,-0.27755934
45970,L5/6 NP,0.08341773,0.10536929
45998,L5 IT,-0.124436036,0.04460305
46040,L5 IT,0.21264206,-0.013378149
263616,L2/3 IT,0.047850143,-0.3100833
96303,Micro,-0.098307475,-0.19862506
46053,L6 CT,0.087491006,0.24239725
206819,L6 IT,0.03208534,0.091498174
96255,Endo,-0.13846014,-0.23491722
46129,L2/3 IT,-0.11327721,-0.20578027
97934,PVM,-0.20544447,0.047530413
97955,Endo,-0.42529914,0.11406999
192120,L4/5 IT,0.054300714,-0.17445311
206848,Astro,0.37170792,0.020788178
46311,Oligo,0.4003752,-0.11607431
140309,L5 ET,-0.045534104,0.0641434
96160,Oligo,0.019134145,0.39789817
206872,L2/3 IT,-0.30332834,-0.061956793
263313,Oligo,-0.042888295,-0.050646238
98058,L6 CT,0.26278326,-0.0070448536
140215,Oligo,-0.2567515,-0.12029078
98038,Oligo,-0.18173973,0.36555997
223303,L2/3 IT,-0.26324058,-0.13951896
97981,L5 ET,0.15437376,-0.10262906
46165,L2/3 IT,-0.3508077,-0.033895716
223343,Endo,-0.4772585,-0.005658416
46151,L2/3 IT,-0.32543114,0.12874052
96254,Sst,0.30520323,0.04898949
96244,L4/5 IT,-0.017781518,-0.19574645
49108,PVM,0.0895012,0.3076762
205724,Pvalb,0.186367,-0.08410574
49116,L5 IT,0.26902974,-0.11080543
221434,L5/6 NP,0.2186402,-0.15507865
207980,Sst,-0.07553535,0.16090971
101237,Astro,0.14240341,0.24424237
51908,L4/5 IT,0.031687606,-0.22075605
262800,Oligo,-0.08798662,-0.34778368
51922,L4/5 IT,-0.32289663,0.17910805
51932,L6 CT,-0.08084531,0.309081
242208,L2/3 IT,-0.24303177,-0.0689398
135678,L2/3 IT,-0.23185053,-0.10108891
101315,L4/5 IT,0.14317693,-0.2720934
92871,L5 IT,-0.3334756,0.29416832
208077,L6 CT,0.45410082,-0.020909071
52031,L6 IT,-0.026190342,0.19894692
193802,L6 IT,0.093119204,0.08683513
271363,L4/5 IT,-0.11631951,-0.034312114
264261,Astro,-0.3325777,0.2077438
92832,L4/5 IT,0.01033647,-0.20838982
135541,L5/6 NP,0.08832134,0.067533195
205153,L6 CT,0.11350034,0.23770905
92620,L2/3 IT,0.16116716,-0.4308401
193857,L5 ET,0.23655035,-0.26412475
193847,L6 CT,0.13692431,0.19144824
135588,L6 IT,0.44766885,-0.15671769
135860,L5 IT,-0.051456362,0.11824342
221330,L2/3 IT,-0.31734496,-0.057660647
92789,L2/3 IT,0.0912686,-0.355295
193828,Astro,0.16110073,0.30145335
92822,Endo,-0.19670287,0.2211923
221351,Oligo,-0.06362772,-0.066920266
221360,L4/5 IT,-0.046568263,-0.13196756
101386,Lamp5,0.27963373,0.1864197
135600,L6 CT,0.19238053,0.044389017
135526,L4/5 IT,-0.09214927,-0.07268524
51819,Pvalb,-0.23779307,0.023197599
246734,L2/3 IT,-0.0918602,-0.17821595
136209,L6 CT,0.23795672,-0.00829402
221579,L5 ET,0.24384685,-0.25439233
205307,Lamp5,-0.39217004,-0.064802215
51384,L2/3 IT,0.023824487,-0.30890405
51385,L2/3 IT,-0.16225572,-0.17150047
193660,Sst,-0.037317738,-0.077036984
271472,L6 CT,0.03384543,0.2424056
136136,Endo,0.09576157,-0.05661223
51494,L2/3 IT,-0.11965214,-0.24821731
193674,L4/5 IT,0.21866925,-0.31026465
136105,L5 ET,0.044706102,0.027553052
136102,VLMC,0.18584338,-0.51795787
100917,L5/6 NP,0.33443788,-0.17541206
93168,L5 IT,-0.27905393,0.2400532
221538,L6 CT,0.17553775,0.14416853
93154,L5 ET,-0.032691844,0.060922638
271461,L6 CT,0.1486941,0.17176357
135886,Micro,-0.1632832,-0.10984598
101142,L2/3 IT,-0.162321,-0.20159003
256795,VLMC,-0.0063380376,-0.39399135
221476,L2/3 IT,-0.2296089,-0.091342255
93129,L6 CT,0.20122842,0.13680613
207961,L6 CT,-0.082568705,0.39864028
221452,Micro,-0.071096286,0.36856744
51653,L6 CT,-0.0009021312,0.10892906
256779,L4/5 IT,-0.077746056,-0.22181949
135988,L2/3 IT,-0.2551508,-0.13373739
136013,Oligo,0.03424834,0.39968437
193693,Endo,-0.26348656,0.24930179
101044,Endo,0.12489328,0.043675944
101007,L4/5 IT,0.029879998,-0.16958532
135980,L4/5 IT,-0.28636357,0.13739872
51363,L4/5 IT,-0.053203497,-0.16042086
101533,L5 IT,0.27011636,-0.23719636
92529,L5 ET,0.1823271,-0.13274789
52464,SMC,0.09836392,-0.45204878
271276,L6 CT,0.3259333,0.037738167
52498,L4/5 IT,-0.089572445,-0.1363157
135051,Peri,-0.08104345,-0.26060745
135046,L6 IT,-0.05871073,0.32706714
256964,L2/3 IT,-0.26825127,0.034668967
194049,L2/3 IT,-0.23318143,-0.1901443
91970,L5/6 NP,-0.10176466,0.07844651
91962,L4/5 IT,-0.13506232,-0.007826062
91957,L6b,0.0018490143,0.3830185
52713,L4/5 IT,-0.30838937,0.1251665
134985,Oligo,0.29626593,0.1009408
134960,L4/5 IT,0.18003996,-0.3158061
52874,L2/3 IT,0.15011115,-0.37791315
52875,Pvalb,-0.08950103,-0.15570289
264396,Endo,0.21427257,0.055121332
262683,L5 IT,0.2426414,-0.09376393
53175,L4/5 IT,-0.10340276,-0.03810525
220974,Endo,-0.05215867,0.2065855
257001,L5 IT,-0.06601825,0.17275456
53145,Astro,0.25394055,-0.06162458
91887,L5 IT,0.2058555,-0.0044969693
134776,L4/5 IT,-0.30776468,0.10234978
194008,L2/3 IT,-0.35012215,0.11563154
134815,Endo,0.32385612,-0.27938017
101989,L4/5 IT,0.016651783,-0.17949793
52997,L2/3 IT,-0.0019735135,-0.24938446
134857,L6 CT,0.31567425,-0.07994917
52991,Lamp5,-0.25932533,-0.19661567
52945,L4/5 IT,-0.20536137,-0.051652305
194081,Endo,-0.2647517,0.15106851
271181,L5 IT,0.09529431,-0.11701385
101558,L5 IT,-0.057791866,0.05339124
135127,L2/3 IT,0.008983228,-0.23499921
221198,Oligo,0.15752286,0.29657963
52243,L2/3 IT,-0.4043567,0.038730323
101594,L2/3 IT,-0.17598787,-0.16404486
101595,L6 IT,0.335501,-0.029576644
208189,L6 CT,0.25625625,0.031448506
52244,L5 IT,0.3058015,-0.24054018
92275,L4/5 IT,-0.15585814,0.03529305
271334,Endo,-0.15570131,0.28270337
221260,L5 ET,-0.2036613,0.26815382
135427,L6 CT,0.18552174,0.12387159
193907,L4/5 IT,0.16262513,-0.26304784
92266,L4/5 IT,0.13930531,-0.24136388
135417,Astro,0.20245832,-0.061714467
101685,Oligo,-0.17977603,0.23003659
135377,L2/3 IT,-0.13566531,-0.2378434
135357,L2/3 IT,0.16545665,-0.37948924
52279,SMC,-0.5261198,0.026542116
135326,Astro,0.22630592,0.30078903
52371,L5 IT,0.08588728,-0.033523563
205059,L2/3 IT,-0.28698018,-0.06453228
208226,Oligo,0.07225667,0.28783423
52327,L2/3 IT,-0.33605158,-0.09277663
